raw_name,grade,status,condition,stock,auction_price,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
samsung GALAXY S20 ULTRA 128GB,AE,Terdaftar,Produk Only,1,2730000,73,2026-07-07 17:49:23,S0018-I07-O0073,20260707-174824,18,7,"[0,1766][1200,1929]",49641ca72acf,"samsung GALAXY S20 ULTRA 128GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,730,000"
samsung GALAXY S20 FE 128GB,AG,Terdaftar,Produk Only,1,1580000,74,2026-07-07 17:49:26,S0019-I04-O0074,20260707-174824,19,4,"[0,983][1200,1234]",b50aefe36a8e,"samsung GALAXY S20 FE 128GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,580,000"
samsung GALAXY S20 FE 128GB,AI,Terdaftar,Produk Only,1,990000,75,2026-07-07 17:49:26,S0019-I05-O0075,20260707-174824,19,5,"[0,1234][1200,1485]",7523fa6f0fd3,"samsung GALAXY S20 FE 128GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 990,000"
samsung GALAXY S20 PLUS 128GB,AF,Terdaftar,Produk Only,1,2070000,76,2026-07-07 17:49:26,S0019-I06-O0076,20260707-174824,19,6,"[0,1485][1200,1736]",50090d943b6f,"samsung GALAXY S20 PLUS 128GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,070,000"
samsung GALAXY S10 PLUS 128GB,AF,Terdaftar,Produk Only,1,2310000,77,2026-07-07 17:49:26,S0019-I07-O0077,20260707-174824,19,7,"[0,1736][1200,1929]",ba816f4b6687,"samsung GALAXY S10 PLUS 128GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,310,000"
samsung GALAXY S20 128GB,AG,Terdaftar,Produk Only,1,1650000,78,2026-07-07 17:49:29,S0020-I04-O0078,20260707-174824,20,4,"[0,953][1200,1204]",f4e7c7e048fd,"samsung GALAXY S20 128GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,650,000"
samsung GALAXY NOTE FE 64GB,AJ,Terdaftar,Produk Only,1,290000,79,2026-07-07 17:49:29,S0020-I05-O0079,20260707-174824,20,5,"[0,1204][1200,1455]",e84ef430dcd3,"samsung GALAXY NOTE FE 64GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 290,000"
samsung GALAXY S10 128GB,AG,Terdaftar,Produk Only,1,1530000,80,2026-07-07 17:49:29,S0020-I06-O0080,20260707-174824,20,6,"[0,1455][1200,1707]",59e92d2fae18,"samsung GALAXY S10 128GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,530,000"
samsung GALAXY S10 PLUS 128GB,AE,Terdaftar,Produk Only,1,2410000,81,2026-07-07 17:49:29,S0020-I07-O0081,20260707-174824,20,7,"[0,1707][1200,1929]",c443dc764a46,"samsung GALAXY S10 PLUS 128GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,410,000"
samsung GALAXY NOTE 20 ULTRA 5G 256GB,AG,Terdaftar,Full Set,1,3280000,82,2026-07-07 17:49:34,S0021-I04-O0082,20260707-174824,21,4,"[0,925][1200,1177]",28a2b3a5b8f2,"samsung GALAXY NOTE 20 ULTRA 5G 256GB AG (Terdaftar) Fullset Stok : 1 Harga Lelang IDR 3,280,000"
samsung GALAXY NOTE 9 128GB,AG,Terdaftar,Produk Only,1,1230000,83,2026-07-07 17:49:34,S0021-I05-O0083,20260707-174824,21,5,"[0,1177][1200,1428]",dfef4535e7e7,"samsung GALAXY NOTE 9 128GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,230,000"
samsung GALAXY M54 256GB,AI,Terdaftar,Produk Only,1,1500000,84,2026-07-07 17:49:34,S0021-I06-O0084,20260707-174824,21,6,"[0,1428][1200,1679]",bf464e4e2616,"samsung GALAXY M54 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,500,000"
samsung GALAXY NOTE 10 256GB,AJ,Terdaftar,Produk Only,1,1220000,85,2026-07-07 17:49:34,S0021-I07-O0085,20260707-174824,21,7,"[0,1679][1200,1929]",21cf34d8392d,"samsung GALAXY NOTE 10 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,220,000"
samsung GALAXY NOTE 10 PLUS 256GB,AI,Terdaftar,Produk Only,1,1620000,86,2026-07-07 17:49:37,S0022-I04-O0086,20260707-174824,22,4,"[0,896][1200,1147]",e6a1622c15df,"samsung GALAXY NOTE 10 PLUS 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,620,000"
samsung GALAXY M21 64GB,AF,Terdaftar,Produk Only,1,414000,87,2026-07-07 17:49:37,S0022-I05-O0087,20260707-174824,22,5,"[0,1147][1200,1398]",f5b8fd1c8735,"samsung GALAXY M21 64GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 414,000"
samsung GALAXY M54 256GB,AF,Terdaftar,Produk Only,1,1760000,88,2026-07-07 17:49:37,S0022-I06-O0088,20260707-174824,22,6,"[0,1398][1200,1649]",9ff39cff848b,"samsung GALAXY M54 256GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,760,000"
samsung GALAXY A9 2018 128GB,AG,Terdaftar,Produk Only,1,500000,89,2026-07-07 17:49:37,S0022-I07-O0089,20260707-174824,22,7,"[0,1649][1200,1900]",90c76364cff3,"samsung GALAXY A9 2018 128GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 500,000"
